waveform	[0]	[1]
t0	31/12/1903  20:00:00	31/12/1903  20:00:00
delta t	0.010000	0.010000

time	Y[0]	Y[1]
31/12/1903  20:00:00	0.000000E+0	0.000000E+0
31/12/1903  20:00:00	2.002002E-2	5.005005E-3
31/12/1903  20:00:00	4.004004E-2	1.001001E-2
31/12/1903  20:00:00	6.006006E-2	1.501502E-2
31/12/1903  20:00:00	8.008008E-2	2.002002E-2
31/12/1903  20:00:00	1.001001E-1	2.502503E-2
31/12/1903  20:00:00	1.201201E-1	3.003003E-2
31/12/1903  20:00:00	1.401401E-1	3.503504E-2
31/12/1903  20:00:00	1.601602E-1	4.004004E-2
31/12/1903  20:00:00	1.801802E-1	4.504505E-2
31/12/1903  20:00:00	2.002002E-1	5.005005E-2
31/12/1903  20:00:00	2.202202E-1	5.505506E-2
31/12/1903  20:00:00	2.402402E-1	6.006006E-2
31/12/1903  20:00:00	2.602603E-1	6.506507E-2
31/12/1903  20:00:00	2.802803E-1	7.007007E-2
31/12/1903  20:00:00	3.003003E-1	7.507508E-2
31/12/1903  20:00:00	3.203203E-1	8.008008E-2
31/12/1903  20:00:00	3.403403E-1	8.508509E-2
31/12/1903  20:00:00	3.603604E-1	9.009009E-2
31/12/1903  20:00:00	3.803804E-1	9.509510E-2
31/12/1903  20:00:00	4.004004E-1	1.001001E-1
31/12/1903  20:00:00	4.204204E-1	1.051051E-1
31/12/1903  20:00:00	4.404404E-1	1.101101E-1
31/12/1903  20:00:00	4.604605E-1	1.151151E-1
31/12/1903  20:00:00	4.804805E-1	1.201201E-1
31/12/1903  20:00:00	5.005005E-1	1.251251E-1
31/12/1903  20:00:00	5.205205E-1	1.301301E-1
31/12/1903  20:00:00	5.405405E-1	1.351351E-1
31/12/1903  20:00:00	5.605606E-1	1.401401E-1
31/12/1903  20:00:00	5.805806E-1	1.451451E-1
31/12/1903  20:00:00	6.006006E-1	1.501502E-1
31/12/1903  20:00:00	6.206206E-1	1.551552E-1
31/12/1903  20:00:00	6.406406E-1	1.601602E-1
31/12/1903  20:00:00	6.606607E-1	1.651652E-1
31/12/1903  20:00:00	6.806807E-1	1.701702E-1
31/12/1903  20:00:00	7.007007E-1	1.751752E-1
31/12/1903  20:00:00	7.207207E-1	1.801802E-1
31/12/1903  20:00:00	7.407407E-1	1.851852E-1
31/12/1903  20:00:00	7.607608E-1	1.901902E-1
31/12/1903  20:00:00	7.807808E-1	1.951952E-1
31/12/1903  20:00:00	8.008008E-1	2.002002E-1
31/12/1903  20:00:00	8.208208E-1	2.052052E-1
31/12/1903  20:00:00	8.408408E-1	2.102102E-1
31/12/1903  20:00:00	8.608609E-1	2.152152E-1
31/12/1903  20:00:00	8.808809E-1	2.202202E-1
31/12/1903  20:00:00	9.009009E-1	2.252252E-1
31/12/1903  20:00:00	9.209209E-1	2.302302E-1
31/12/1903  20:00:00	9.409409E-1	2.352352E-1
31/12/1903  20:00:00	9.609610E-1	2.402402E-1
31/12/1903  20:00:00	9.809810E-1	2.452452E-1
31/12/1903  20:00:00	1.001001E+0	2.502503E-1
31/12/1903  20:00:00	1.021021E+0	2.552553E-1
31/12/1903  20:00:00	1.041041E+0	2.602603E-1
31/12/1903  20:00:00	1.061061E+0	2.652653E-1
31/12/1903  20:00:00	1.081081E+0	2.702703E-1
31/12/1903  20:00:00	1.101101E+0	2.752753E-1
31/12/1903  20:00:00	1.121121E+0	2.802803E-1
31/12/1903  20:00:00	1.141141E+0	2.852853E-1
31/12/1903  20:00:00	1.161161E+0	2.902903E-1
31/12/1903  20:00:00	1.181181E+0	2.952953E-1
31/12/1903  20:00:00	1.201201E+0	3.003003E-1
31/12/1903  20:00:00	1.221221E+0	3.053053E-1
31/12/1903  20:00:00	1.241241E+0	3.103103E-1
31/12/1903  20:00:00	1.261261E+0	3.153153E-1
31/12/1903  20:00:00	1.281281E+0	3.203203E-1
31/12/1903  20:00:00	1.301301E+0	3.253253E-1
31/12/1903  20:00:00	1.321321E+0	3.303303E-1
31/12/1903  20:00:00	1.341341E+0	3.353353E-1
31/12/1903  20:00:00	1.361361E+0	3.403403E-1
31/12/1903  20:00:00	1.381381E+0	3.453453E-1
31/12/1903  20:00:00	1.401401E+0	3.503504E-1
31/12/1903  20:00:00	1.421421E+0	3.553554E-1
31/12/1903  20:00:00	1.441441E+0	3.603604E-1
31/12/1903  20:00:00	1.461461E+0	3.653654E-1
31/12/1903  20:00:00	1.481481E+0	3.703704E-1
31/12/1903  20:00:00	1.501502E+0	3.753754E-1
31/12/1903  20:00:00	1.521522E+0	3.803804E-1
31/12/1903  20:00:00	1.541542E+0	3.853854E-1
31/12/1903  20:00:00	1.561562E+0	3.903904E-1
31/12/1903  20:00:00	1.581582E+0	3.953954E-1
31/12/1903  20:00:00	1.601602E+0	4.004004E-1
31/12/1903  20:00:00	1.621622E+0	4.054054E-1
31/12/1903  20:00:00	1.641642E+0	4.104104E-1
31/12/1903  20:00:00	1.661662E+0	4.154154E-1
31/12/1903  20:00:00	1.681682E+0	4.204204E-1
31/12/1903  20:00:00	1.701702E+0	4.254254E-1
31/12/1903  20:00:00	1.721722E+0	4.304304E-1
31/12/1903  20:00:00	1.741742E+0	4.354354E-1
31/12/1903  20:00:00	1.761762E+0	4.404404E-1
31/12/1903  20:00:00	1.781782E+0	4.454454E-1
31/12/1903  20:00:00	1.801802E+0	4.504505E-1
31/12/1903  20:00:00	1.821822E+0	4.554555E-1
31/12/1903  20:00:00	1.841842E+0	4.604605E-1
31/12/1903  20:00:00	1.861862E+0	4.654655E-1
31/12/1903  20:00:00	1.881882E+0	4.704705E-1
31/12/1903  20:00:00	1.901902E+0	4.754755E-1
31/12/1903  20:00:00	1.921922E+0	4.804805E-1
31/12/1903  20:00:00	1.941942E+0	4.854855E-1
31/12/1903  20:00:00	1.961962E+0	4.904905E-1
31/12/1903  20:00:00	1.981982E+0	4.954955E-1
31/12/1903  20:00:01	2.002002E+0	5.005005E-1
31/12/1903  20:00:01	2.022022E+0	5.055055E-1
31/12/1903  20:00:01	2.042042E+0	5.105105E-1
31/12/1903  20:00:01	2.062062E+0	5.155155E-1
31/12/1903  20:00:01	2.082082E+0	5.205205E-1
31/12/1903  20:00:01	2.102102E+0	5.255255E-1
31/12/1903  20:00:01	2.122122E+0	5.305305E-1
31/12/1903  20:00:01	2.142142E+0	5.355355E-1
31/12/1903  20:00:01	2.162162E+0	5.405405E-1
31/12/1903  20:00:01	2.182182E+0	5.455455E-1
31/12/1903  20:00:01	2.202202E+0	5.505506E-1
31/12/1903  20:00:01	2.222222E+0	5.555556E-1
31/12/1903  20:00:01	2.242242E+0	5.605606E-1
31/12/1903  20:00:01	2.262262E+0	5.655656E-1
31/12/1903  20:00:01	2.282282E+0	5.705706E-1
31/12/1903  20:00:01	2.302302E+0	5.755756E-1
31/12/1903  20:00:01	2.322322E+0	5.805806E-1
31/12/1903  20:00:01	2.342342E+0	5.855856E-1
31/12/1903  20:00:01	2.362362E+0	5.905906E-1
31/12/1903  20:00:01	2.382382E+0	5.955956E-1
31/12/1903  20:00:01	2.402402E+0	6.006006E-1
31/12/1903  20:00:01	2.422422E+0	6.056056E-1
31/12/1903  20:00:01	2.442442E+0	6.106106E-1
31/12/1903  20:00:01	2.462462E+0	6.156156E-1
31/12/1903  20:00:01	2.482482E+0	6.206206E-1
31/12/1903  20:00:01	2.502503E+0	6.256256E-1
31/12/1903  20:00:01	2.522523E+0	6.306306E-1
31/12/1903  20:00:01	2.542543E+0	6.356356E-1
31/12/1903  20:00:01	2.562563E+0	6.406406E-1
31/12/1903  20:00:01	2.582583E+0	6.456456E-1
31/12/1903  20:00:01	2.602603E+0	6.506507E-1
31/12/1903  20:00:01	2.622623E+0	6.556557E-1
31/12/1903  20:00:01	2.642643E+0	6.606607E-1
31/12/1903  20:00:01	2.662663E+0	6.656657E-1
31/12/1903  20:00:01	2.682683E+0	6.706707E-1
31/12/1903  20:00:01	2.702703E+0	6.756757E-1
31/12/1903  20:00:01	2.722723E+0	6.806807E-1
31/12/1903  20:00:01	2.742743E+0	6.856857E-1
31/12/1903  20:00:01	2.762763E+0	6.906907E-1
31/12/1903  20:00:01	2.782783E+0	6.956957E-1
31/12/1903  20:00:01	2.802803E+0	7.007007E-1
31/12/1903  20:00:01	2.822823E+0	7.057057E-1
31/12/1903  20:00:01	2.842843E+0	7.107107E-1
31/12/1903  20:00:01	2.862863E+0	7.157157E-1
31/12/1903  20:00:01	2.882883E+0	7.207207E-1
31/12/1903  20:00:01	2.902903E+0	7.257257E-1
31/12/1903  20:00:01	2.922923E+0	7.307307E-1
31/12/1903  20:00:01	2.942943E+0	7.357357E-1
31/12/1903  20:00:01	2.962963E+0	7.407407E-1
31/12/1903  20:00:01	2.982983E+0	7.457457E-1
31/12/1903  20:00:01	3.003003E+0	7.507508E-1
31/12/1903  20:00:01	3.023023E+0	7.557558E-1
31/12/1903  20:00:01	3.043043E+0	7.607608E-1
31/12/1903  20:00:01	3.063063E+0	7.657658E-1
31/12/1903  20:00:01	3.083083E+0	7.707708E-1
31/12/1903  20:00:01	3.103103E+0	7.757758E-1
31/12/1903  20:00:01	3.123123E+0	7.807808E-1
31/12/1903  20:00:01	3.143143E+0	7.857858E-1
31/12/1903  20:00:01	3.163163E+0	7.907908E-1
31/12/1903  20:00:01	3.183183E+0	7.957958E-1
31/12/1903  20:00:01	3.203203E+0	8.008008E-1
31/12/1903  20:00:01	3.223223E+0	8.058058E-1
31/12/1903  20:00:01	3.243243E+0	8.108108E-1
31/12/1903  20:00:01	3.263263E+0	8.158158E-1
31/12/1903  20:00:01	3.283283E+0	8.208208E-1
31/12/1903  20:00:01	3.303303E+0	8.258258E-1
31/12/1903  20:00:01	3.323323E+0	8.308308E-1
31/12/1903  20:00:01	3.343343E+0	8.358358E-1
31/12/1903  20:00:01	3.363363E+0	8.408408E-1
31/12/1903  20:00:01	3.383383E+0	8.458458E-1
31/12/1903  20:00:01	3.403403E+0	8.508509E-1
31/12/1903  20:00:01	3.423423E+0	8.558559E-1
31/12/1903  20:00:01	3.443443E+0	8.608609E-1
31/12/1903  20:00:01	3.463463E+0	8.658659E-1
31/12/1903  20:00:01	3.483483E+0	8.708709E-1
31/12/1903  20:00:01	3.503504E+0	8.758759E-1
31/12/1903  20:00:01	3.523524E+0	8.808809E-1
31/12/1903  20:00:01	3.543544E+0	8.858859E-1
31/12/1903  20:00:01	3.563564E+0	8.908909E-1
31/12/1903  20:00:01	3.583584E+0	8.958959E-1
31/12/1903  20:00:01	3.603604E+0	9.009009E-1
31/12/1903  20:00:01	3.623624E+0	9.059059E-1
31/12/1903  20:00:01	3.643644E+0	9.109109E-1
31/12/1903  20:00:01	3.663664E+0	9.159159E-1
31/12/1903  20:00:01	3.683684E+0	9.209209E-1
31/12/1903  20:00:01	3.703704E+0	9.259259E-1
31/12/1903  20:00:01	3.723724E+0	9.309309E-1
31/12/1903  20:00:01	3.743744E+0	9.359359E-1
31/12/1903  20:00:01	3.763764E+0	9.409409E-1
31/12/1903  20:00:01	3.783784E+0	9.459459E-1
31/12/1903  20:00:01	3.803804E+0	9.509510E-1
31/12/1903  20:00:01	3.823824E+0	9.559560E-1
31/12/1903  20:00:01	3.843844E+0	9.609610E-1
31/12/1903  20:00:01	3.863864E+0	9.659660E-1
31/12/1903  20:00:01	3.883884E+0	9.709710E-1
31/12/1903  20:00:01	3.903904E+0	9.759760E-1
31/12/1903  20:00:01	3.923924E+0	9.809810E-1
31/12/1903  20:00:01	3.943944E+0	9.859860E-1
31/12/1903  20:00:01	3.963964E+0	9.909910E-1
31/12/1903  20:00:01	3.983984E+0	9.959960E-1
31/12/1903  20:00:02	4.004004E+0	1.001001E+0
31/12/1903  20:00:02	4.024024E+0	1.006006E+0
31/12/1903  20:00:02	4.044044E+0	1.011011E+0
31/12/1903  20:00:02	4.064064E+0	1.016016E+0
31/12/1903  20:00:02	4.084084E+0	1.021021E+0
31/12/1903  20:00:02	4.104104E+0	1.026026E+0
31/12/1903  20:00:02	4.124124E+0	1.031031E+0
31/12/1903  20:00:02	4.144144E+0	1.036036E+0
31/12/1903  20:00:02	4.164164E+0	1.041041E+0
31/12/1903  20:00:02	4.184184E+0	1.046046E+0
31/12/1903  20:00:02	4.204204E+0	1.051051E+0
31/12/1903  20:00:02	4.224224E+0	1.056056E+0
31/12/1903  20:00:02	4.244244E+0	1.061061E+0
31/12/1903  20:00:02	4.264264E+0	1.066066E+0
31/12/1903  20:00:02	4.284284E+0	1.071071E+0
31/12/1903  20:00:02	4.304304E+0	1.076076E+0
31/12/1903  20:00:02	4.324324E+0	1.081081E+0
31/12/1903  20:00:02	4.344344E+0	1.086086E+0
31/12/1903  20:00:02	4.364364E+0	1.091091E+0
31/12/1903  20:00:02	4.384384E+0	1.096096E+0
31/12/1903  20:00:02	4.404404E+0	1.101101E+0
31/12/1903  20:00:02	4.424424E+0	1.106106E+0
31/12/1903  20:00:02	4.444444E+0	1.111111E+0
31/12/1903  20:00:02	4.464464E+0	1.116116E+0
31/12/1903  20:00:02	4.484484E+0	1.121121E+0
31/12/1903  20:00:02	4.504505E+0	1.126126E+0
31/12/1903  20:00:02	4.524525E+0	1.131131E+0
31/12/1903  20:00:02	4.544545E+0	1.136136E+0
31/12/1903  20:00:02	4.564565E+0	1.141141E+0
31/12/1903  20:00:02	4.584585E+0	1.146146E+0
31/12/1903  20:00:02	4.604605E+0	1.151151E+0
31/12/1903  20:00:02	4.624625E+0	1.156156E+0
31/12/1903  20:00:02	4.644645E+0	1.161161E+0
31/12/1903  20:00:02	4.664665E+0	1.166166E+0
31/12/1903  20:00:02	4.684685E+0	1.171171E+0
31/12/1903  20:00:02	4.704705E+0	1.176176E+0
31/12/1903  20:00:02	4.724725E+0	1.181181E+0
31/12/1903  20:00:02	4.744745E+0	1.186186E+0
31/12/1903  20:00:02	4.764765E+0	1.191191E+0
31/12/1903  20:00:02	4.784785E+0	1.196196E+0
31/12/1903  20:00:02	4.804805E+0	1.201201E+0
31/12/1903  20:00:02	4.824825E+0	1.206206E+0
31/12/1903  20:00:02	4.844845E+0	1.211211E+0
31/12/1903  20:00:02	4.864865E+0	1.216216E+0
31/12/1903  20:00:02	4.884885E+0	1.221221E+0
31/12/1903  20:00:02	4.904905E+0	1.226226E+0
31/12/1903  20:00:02	4.924925E+0	1.231231E+0
31/12/1903  20:00:02	4.944945E+0	1.236236E+0
31/12/1903  20:00:02	4.964965E+0	1.241241E+0
31/12/1903  20:00:02	4.984985E+0	1.246246E+0
31/12/1903  20:00:02	5.005005E+0	1.251251E+0
31/12/1903  20:00:02	5.025025E+0	1.256256E+0
31/12/1903  20:00:02	5.045045E+0	1.261261E+0
31/12/1903  20:00:02	5.065065E+0	1.266266E+0
