LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	No
X_Columns	One
Time_Pref	Relative
Operator	LHRI
Date	2006/09/18
Time	12:14:00.614999
***End_of_Header***	
	
Channels	1	
Samples	1000	
Date	2006/09/18	
Time	12:14:00.614999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	0.010000	
***End_of_Header***		
X_Value	Wrist Extensors	Comment
0.000000	20.000000
0.010000	19.979980
0.020000	19.959960
0.030000	19.939940
0.040000	19.919920
0.050000	19.899900
0.060000	19.879880
0.070000	19.859860
0.080000	19.839840
0.090000	19.819820
0.100000	19.799800
0.110000	19.779780
0.120000	19.759760
0.130000	19.739740
0.140000	19.719720
0.150000	19.699700
0.160000	19.679680
0.170000	19.659660
0.180000	19.639640
0.190000	19.619620
0.200000	19.599600
0.210000	19.579580
0.220000	19.559560
0.230000	19.539540
0.240000	19.519520
0.250000	19.499499
0.260000	19.479479
0.270000	19.459459
0.280000	19.439439
0.290000	19.419419
0.300000	19.399399
0.310000	19.379379
0.320000	19.359359
0.330000	19.339339
0.340000	19.319319
0.350000	19.299299
0.360000	19.279279
0.370000	19.259259
0.380000	19.239239
0.390000	19.219219
0.400000	19.199199
0.410000	19.179179
0.420000	19.159159
0.430000	19.139139
0.440000	19.119119
0.450000	19.099099
0.460000	19.079079
0.470000	19.059059
0.480000	19.039039
0.490000	19.019019
0.500000	18.998999
0.510000	18.978979
0.520000	18.958959
0.530000	18.938939
0.540000	18.918919
0.550000	18.898899
0.560000	18.878879
0.570000	18.858859
0.580000	18.838839
0.590000	18.818819
0.600000	18.798799
0.610000	18.778779
0.620000	18.758759
0.630000	18.738739
0.640000	18.718719
0.650000	18.698699
0.660000	18.678679
0.670000	18.658659
0.680000	18.638639
0.690000	18.618619
0.700000	18.598599
0.710000	18.578579
0.720000	18.558559
0.730000	18.538539
0.740000	18.518519
0.750000	18.498498
0.760000	18.478478
0.770000	18.458458
0.780000	18.438438
0.790000	18.418418
0.800000	18.398398
0.810000	18.378378
0.820000	18.358358
0.830000	18.338338
0.840000	18.318318
0.850000	18.298298
0.860000	18.278278
0.870000	18.258258
0.880000	18.238238
0.890000	18.218218
0.900000	18.198198
0.910000	18.178178
0.920000	18.158158
0.930000	18.138138
0.940000	18.118118
0.950000	18.098098
0.960000	18.078078
0.970000	18.058058
0.980000	18.038038
0.990000	18.018018
1.000000	17.997998
1.010000	17.977978
1.020000	17.957958
1.030000	17.937938
1.040000	17.917918
1.050000	17.897898
1.060000	17.877878
1.070000	17.857858
1.080000	17.837838
1.090000	17.817818
1.100000	17.797798
1.110000	17.777778
1.120000	17.757758
1.130000	17.737738
1.140000	17.717718
1.150000	17.697698
1.160000	17.677678
1.170000	17.657658
1.180000	17.637638
1.190000	17.617618
1.200000	17.597598
1.210000	17.577578
1.220000	17.557558
1.230000	17.537538
1.240000	17.517518
1.250000	17.497497
1.260000	17.477477
1.270000	17.457457
1.280000	17.437437
1.290000	17.417417
1.300000	17.397397
1.310000	17.377377
1.320000	17.357357
1.330000	17.337337
1.340000	17.317317
1.350000	17.297297
1.360000	17.277277
1.370000	17.257257
1.380000	17.237237
1.390000	17.217217
1.400000	17.197197
1.410000	17.177177
1.420000	17.157157
1.430000	17.137137
1.440000	17.117117
1.450000	17.097097
1.460000	17.077077
1.470000	17.057057
1.480000	17.037037
1.490000	17.017017
1.500000	16.996997
1.510000	16.976977
1.520000	16.956957
1.530000	16.936937
1.540000	16.916917
1.550000	16.896897
1.560000	16.876877
1.570000	16.856857
1.580000	16.836837
1.590000	16.816817
1.600000	16.796797
1.610000	16.776777
1.620000	16.756757
1.630000	16.736737
1.640000	16.716717
1.650000	16.696697
1.660000	16.676677
1.670000	16.656657
1.680000	16.636637
1.690000	16.616617
1.700000	16.596597
1.710000	16.576577
1.720000	16.556557
1.730000	16.536537
1.740000	16.516517
1.750000	16.496496
1.760000	16.476476
1.770000	16.456456
1.780000	16.436436
1.790000	16.416416
1.800000	16.396396
1.810000	16.376376
1.820000	16.356356
1.830000	16.336336
1.840000	16.316316
1.850000	16.296296
1.860000	16.276276
1.870000	16.256256
1.880000	16.236236
1.890000	16.216216
1.900000	16.196196
1.910000	16.176176
1.920000	16.156156
1.930000	16.136136
1.940000	16.116116
1.950000	16.096096
1.960000	16.076076
1.970000	16.056056
1.980000	16.036036
1.990000	16.016016
2.000000	15.995996
2.010000	15.975976
2.020000	15.955956
2.030000	15.935936
2.040000	15.915916
2.050000	15.895896
2.060000	15.875876
2.070000	15.855856
2.080000	15.835836
2.090000	15.815816
2.100000	15.795796
2.110000	15.775776
2.120000	15.755756
2.130000	15.735736
2.140000	15.715716
2.150000	15.695696
2.160000	15.675676
2.170000	15.655656
2.180000	15.635636
2.190000	15.615616
2.200000	15.595596
2.210000	15.575576
2.220000	15.555556
2.230000	15.535536
2.240000	15.515516
2.250000	15.495495
2.260000	15.475475
2.270000	15.455455
2.280000	15.435435
2.290000	15.415415
2.300000	15.395395
2.310000	15.375375
2.320000	15.355355
2.330000	15.335335
2.340000	15.315315
2.350000	15.295295
2.360000	15.275275
2.370000	15.255255
2.380000	15.235235
2.390000	15.215215
2.400000	15.195195
2.410000	15.175175
2.420000	15.155155
2.430000	15.135135
2.440000	15.115115
2.450000	15.095095
2.460000	15.075075
2.470000	15.055055
2.480000	15.035035
2.490000	15.015015
2.500000	14.994995
2.510000	14.974975
2.520000	14.954955
2.530000	14.934935
2.540000	14.914915
2.550000	14.894895
2.560000	14.874875
2.570000	14.854855
2.580000	14.834835
2.590000	14.814815
2.600000	14.794795
2.610000	14.774775
2.620000	14.754755
2.630000	14.734735
2.640000	14.714715
2.650000	14.694695
2.660000	14.674675
2.670000	14.654655
2.680000	14.634635
2.690000	14.614615
2.700000	14.594595
2.710000	14.574575
2.720000	14.554555
2.730000	14.534535
2.740000	14.514515
2.750000	14.494494
2.760000	14.474474
2.770000	14.454454
2.780000	14.434434
2.790000	14.414414
2.800000	14.394394
2.810000	14.374374
2.820000	14.354354
2.830000	14.334334
2.840000	14.314314
2.850000	14.294294
2.860000	14.274274
2.870000	14.254254
2.880000	14.234234
2.890000	14.214214
2.900000	14.194194
2.910000	14.174174
2.920000	14.154154
2.930000	14.134134
2.940000	14.114114
2.950000	14.094094
2.960000	14.074074
2.970000	14.054054
2.980000	14.034034
2.990000	14.014014
3.000000	13.993994
3.010000	13.973974
3.020000	13.953954
3.030000	13.933934
3.040000	13.913914
3.050000	13.893894
3.060000	13.873874
3.070000	13.853854
3.080000	13.833834
3.090000	13.813814
3.100000	13.793794
3.110000	13.773774
3.120000	13.753754
3.130000	13.733734
3.140000	13.713714
3.150000	13.693694
3.160000	13.673674
3.170000	13.653654
3.180000	13.633634
3.190000	13.613614
3.200000	13.593594
3.210000	13.573574
3.220000	13.553554
3.230000	13.533534
3.240000	13.513514
3.250000	13.493493
3.260000	13.473473
3.270000	13.453453
3.280000	13.433433
3.290000	13.413413
3.300000	13.393393
3.310000	13.373373
3.320000	13.353353
3.330000	13.333333
3.340000	13.313313
3.350000	13.293293
3.360000	13.273273
3.370000	13.253253
3.380000	13.233233
3.390000	13.213213
3.400000	13.193193
3.410000	13.173173
3.420000	13.153153
3.430000	13.133133
3.440000	13.113113
3.450000	13.093093
3.460000	13.073073
3.470000	13.053053
3.480000	13.033033
3.490000	13.013013
3.500000	12.992993
3.510000	12.972973
3.520000	12.952953
3.530000	12.932933
3.540000	12.912913
3.550000	12.892893
3.560000	12.872873
3.570000	12.852853
3.580000	12.832833
3.590000	12.812813
3.600000	12.792793
3.610000	12.772773
3.620000	12.752753
3.630000	12.732733
3.640000	12.712713
3.650000	12.692693
3.660000	12.672673
3.670000	12.652653
3.680000	12.632633
3.690000	12.612613
3.700000	12.592593
3.710000	12.572573
3.720000	12.552553
3.730000	12.532533
3.740000	12.512513
3.750000	12.492492
3.760000	12.472472
3.770000	12.452452
3.780000	12.432432
3.790000	12.412412
3.800000	12.392392
3.810000	12.372372
3.820000	12.352352
3.830000	12.332332
3.840000	12.312312
3.850000	12.292292
3.860000	12.272272
3.870000	12.252252
3.880000	12.232232
3.890000	12.212212
3.900000	12.192192
3.910000	12.172172
3.920000	12.152152
3.930000	12.132132
3.940000	12.112112
3.950000	12.092092
3.960000	12.072072
3.970000	12.052052
3.980000	12.032032
3.990000	12.012012
4.000000	11.991992
4.010000	11.971972
4.020000	11.951952
4.030000	11.931932
4.040000	11.911912
4.050000	11.891892
4.060000	11.871872
4.070000	11.851852
4.080000	11.831832
4.090000	11.811812
4.100000	11.791792
4.110000	11.771772
4.120000	11.751752
4.130000	11.731732
4.140000	11.711712
4.150000	11.691692
4.160000	11.671672
4.170000	11.651652
4.180000	11.631632
4.190000	11.611612
4.200000	11.591592
4.210000	11.571572
4.220000	11.551552
4.230000	11.531532
4.240000	11.511512
4.250000	11.491491
4.260000	11.471471
4.270000	11.451451
4.280000	11.431431
4.290000	11.411411
4.300000	11.391391
4.310000	11.371371
4.320000	11.351351
4.330000	11.331331
4.340000	11.311311
4.350000	11.291291
4.360000	11.271271
4.370000	11.251251
4.380000	11.231231
4.390000	11.211211
4.400000	11.191191
4.410000	11.171171
4.420000	11.151151
4.430000	11.131131
4.440000	11.111111
4.450000	11.091091
4.460000	11.071071
4.470000	11.051051
4.480000	11.031031
4.490000	11.011011
4.500000	10.990991
4.510000	10.970971
4.520000	10.950951
4.530000	10.930931
