w180n90                  40   90   -180  -140
w140n90                  40   90   -140  -100
w100n90                  40   90   -100   -60
w060n90                  40   90    -60   -20
w020n90                  40   90    -20    20
e020n90                  40   90     20    60
e060n90                  40   90     60   100
e100n90                  40   90    100   140
e140n90                  40   90    140   180
w180n40                 -10   40   -180  -140
w140n40                 -10   40   -140  -100
w100n40                 -10   40   -100   -60
w060n40                 -10   40    -60   -20
w020n40                 -10   40    -20    20
e020n40                 -10   40     20    60
e060n40                 -10   40     60   100
e100n40                 -10   40    100   140
e140n40                 -10   40    140   180
w180s10                 -60  -10   -180  -140
w140s10                 -60  -10   -140  -100
w100s10                 -60  -10   -100   -60
w060s10                 -60  -10    -60   -20
w020s10                 -60  -10    -20    20
e020s10                 -60  -10     20    60
e060s10                 -60  -10     60   100
e100s10                 -60  -10    100   140
e140s10                 -60  -10    140   180
w180s60                 -90  -60   -180  -120
w120s60                 -90  -60   -120   -60
w060s60                 -90  -60    -60     0
w000s60                 -90  -60      0    60
e060s60                 -90  -60     60   120
e120s60                 -90  -60    120   180
